S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,LTP,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,-,"1,060.00","1,060.00","1,039.00","1,039.38","1,047.15","2,092.00","1,060.10","1,039.50","2,190,639.50",41,-20.72,21.00,-1.95,2.02,-0.75,"1,088.16","1,117.78","1,491.00",690.90
2,ADBL,-,289.50,290.00,280.00,280.58,281.87,"33,659.00",285.87,280.30,"9,487,318.20",223,-5.29,10.00,-1.85,3.57,-0.46,328.33,330.43,428.40,223.00
3,AHL,-,734.00,734.00,710.00,719.98,721.21,"4,507.00",745.47,723.00,"3,250,494.60",75,-25.49,24.00,-3.42,3.38,-0.17,732.51,697.06,904.00,420.00
4,AHPC,-,250.00,255.00,242.50,245.16,246.00,"126,409.00",252.23,246.00,"31,097,022.60",493,-7.07,12.50,-2.80,5.15,-0.34,266.78,252.77,349.00,149.00
5,AKJCL,-,200.10,203.00,199.00,199.49,200.14,"155,446.00",204.15,199.50,"31,111,028.70",576,-4.66,4.00,-2.28,2.01,-0.33,207.21,210.26,274.90,150.90
6,AKPL,-,225.10,225.10,218.00,218.99,220.20,"209,509.00",226.34,219.70,"46,133,838.60",768,-7.35,7.10,-3.25,3.26,-0.55,243.13,234.63,326.00,157.20
7,ALBSL,-,822.00,830.00,815.00,816.51,820.05,"2,215.00",836.41,823.00,"1,816,405.80",58,-19.90,15.00,-2.38,1.84,-0.43,914.14,960.84,"1,177.00",694.20
8,ALICL,-,726.20,726.20,717.00,717.57,719.10,"17,781.00",726.21,718.90,"12,786,329.90",113,-8.64,9.20,-1.19,1.28,-0.21,736.91,717.42,831.00,523.00
9,ANLB,-,"5,009.90","5,179.00","5,007.50","5,011.73","5,018.44",384.00,"5,109.65","5,030.00","1,927,080.50",27,-97.92,171.50,-1.92,3.42,-0.13,"5,089.34","4,411.07","6,735.00","1,894.00"
10,API,-,268.00,268.00,260.00,262.16,263.00,"186,156.00",269.65,263.00,"48,959,658.00",789,-7.49,8.00,-2.78,3.08,-0.32,284.06,271.78,390.00,162.00
