S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
1,ACLBSL,52.80,"1,017.00","1,095.00",996.70,"1,068.00","1,068.00",0.00,0.00,"1,056.73","13,491.00",998.50,"14,256,380.80",258,69.50,98.30,6.96,9.86,1.05,990.50,"1,021.80","1,240.00",900.00
2,ADBL,45.80,326.00,335.00,326.00,330.00,330.00,0.00,0.00,328.67,"188,185.00",326.50,"61,850,589.80",683,3.50,9.00,1.07,2.76,0.40,307.72,308.16,344.90,272.30
3,ADBLD83,28.26,"1,046.10","1,046.10","1,046.10","1,046.10","1,046.10",0.00,0.00,"1,046.10",25.00,"1,047.30","26,152.50",1,-1.20,0.00,-0.11,0.00,0.00,"1,094.89","1,098.61","1,160.00","1,042.20"
4,AHL,36.18,535.00,539.00,524.30,529.00,529.00,0.00,0.00,527.84,"21,982.00",535.00,"11,602,944.50",184,-6.00,14.70,-1.12,2.80,0.22,588.63,603.91,765.80,462.60
5,AHPC,39.68,312.70,316.00,306.20,312.50,312.50,0.00,0.00,311.05,"831,577.00",312.70,"258,663,946.60","1,968",-0.20,9.80,-0.06,3.20,0.46,280.96,285.76,334.00,242.50
6,AKJCL,44.33,417.90,420.00,404.90,409.00,409.00,0.00,0.00,410.99,"1,720,824.00",414.10,"707,239,427.40","2,463",-5.10,15.10,-1.23,3.73,-0.49,237.98,229.00,431.80,172.90
7,AKPL,41.68,315.00,315.00,300.10,305.10,305.10,0.00,0.00,306.25,"1,073,297.00",310.00,"328,699,357.00","2,697",-4.90,14.90,-1.58,4.97,-0.38,255.61,259.47,317.00,216.10
8,ALBSL,44.63,"1,136.80","1,198.00","1,136.80","1,190.00","1,190.00",0.00,0.00,"1,172.00","54,012.00","1,160.00","63,301,940.60",373,30.00,61.20,2.59,5.38,1.51,"1,088.25","1,016.84","1,250.00",771.00
9,ALICL,44.51,486.00,505.00,484.00,499.00,499.00,0.00,0.00,496.29,"172,859.00",483.70,"85,788,710.00",709,15.30,21.00,3.16,4.34,0.54,469.89,486.09,779.00,430.00
10,ANLB,37.19,"6,500.00","6,624.00","6,370.00","6,580.00","6,580.00",0.00,0.00,"6,505.14",314.00,"6,500.00","2,042,614.20",31,80.00,254.00,1.23,3.99,1.14,"6,173.29","5,985.45","6,800.00","4,920.00"
11,API,38.75,348.00,351.20,339.20,343.50,343.50,0.00,0.00,344.24,"1,005,619.00",344.40,"346,177,240.60","2,510",-0.90,12.00,-0.26,3.54,-0.22,293.18,295.25,355.00,258.80
12,AVYAN,46.90,"1,119.00","1,207.80","1,098.00","1,207.80","1,207.80",0.00,0.00,"1,174.25","57,648.00","1,098.00","67,692,954.10",668,109.80,109.80,10.00,10.00,2.78,984.42,"1,009.56","1,225.00",906.00
